dateTime,usUnits,interval,barometer,pressure,altimeter,inTemp,outTemp,inHumidity,outHumidity,windSpeed,windDir,windGust,windGustDir,rainRate,rain,dewpoint,windchill,heatindex,ET,radiation
1415487600,1,1,29.785,28.5017059638,29.7352417933,75.8,45.8,31,89,3,45,5,45,0,0,42.7449414844,45.8,45.8,0,0
1415487660,1,1,29.783,28.4997556109,29.7332228602,75.8,45.9,31,88,3,0,5,22.5,0,0,42.5494468473,45.9,45.9,0,0
1415487720,1,1,29.781,28.497860123,29.7312607207,75.8,46,31,88,7,67.5,12,67.5,0,0,42.6479355197,42.3687767118,46,0,0
1415487780,1,1,29.781,28.4978785231,29.7312797678,75.8,46.1,31,88,2,67.5,6,90,0,0,42.7464238539,46.1,46.1,0,0
1415487840,1,1,29.781,28.4978969841,29.7312988779,75.6,46.2,31,88,2,45,5,45,0,0,42.8449118499,46.2,46.2,0,0
1415487900,1,1,29.779,28.4959831533,29.7293177496,75.6,46.2,31,88,2,67.5,4,45,0,0,42.8449118499,46.2,46.2,0,0
1415487960,1,1,29.778,28.4949889218,29.7282885569,75.6,46.3,31,87,2,67.5,4,67.5,0,0,42.645789203,46.3,46.3,0,0
1415488020,1,1,29.777,28.4940320077,29.7272979935,75.6,46.3,31,87,2,67.5,4,67.5,0,0,42.645789203,46.3,46.3,0,0
1415488080,1,1,29.778,28.4949889218,29.7282885569,75.6,46.3,31,87,1,67.5,3,67.5,0,0,42.645789203,46.3,46.3,0,0
1415488140,1,1,29.777,28.4940320077,29.7272979935,75.6,46.3,31,87,1,67.5,3,67.5,0,0,42.645789203,46.3,46.3,0,0
1415488200,1,1,29.778,28.4949889218,29.7282885569,75.6,46.3,31,87,2,45,4,67.5,0,0,42.645789203,46.3,46.3,0,0
1415488260,1,1,29.779,28.495945836,29.7292791201,75.6,46.3,31,87,0,,1,45,0,0,42.645789203,46.3,46.3,0,0
1415488320,1,1,29.778,28.4949889218,29.7282885569,75.6,46.3,31,87,0,,1,45,0,0,42.645789203,46.3,46.3,0,0
1415488380,1,1,29.779,28.495945836,29.7292791201,75.6,46.3,31,87,0,,0,,0,0,42.645789203,46.3,46.3,0,0
1415488440,1,1,29.779,28.495945836,29.7292791201,75.6,46.3,31,87,1,45,2,45,0,0,42.645789203,46.3,46.3,0,0
1415488500,1,1,29.778,28.4949889218,29.7282885569,75.6,46.3,31,87,1,45,2,45,0,0,42.645789203,46.3,46.3,0,0
1415488560,1,1,29.779,28.495945836,29.7292791201,75.6,46.3,31,87,1,45,2,45,0,0,42.645789203,46.3,46.3,0,0
1415488620,1,1,29.78,28.4968844375,29.7302507265,75.6,46.2,31,87,1,45,1,45,0,0,42.5474350798,46.2,46.2,0,0
1415488680,1,1,29.779,28.495927524,29.7292601641,75.6,46.2,31,87,1,45,1,45,0,0,42.5474350798,46.2,46.2,0,0
1415488740,1,1,29.779,28.495927524,29.7292601641,75.6,46.2,31,87,0,,1,45,0,0,42.5474350798,46.2,46.2,0,0
1415488800,1,1,29.779,28.495927524,29.7292601641,75.6,46.2,31,87,0,,2,45,0,0,42.5474350798,46.2,46.2,0,0
